role,mean_len_A,mean_len_B,score_A_on_axisB,score_B_on_axisA
pacifist,1087.475,1070.7375,-0.502039871707963,-0.7532154678117898
paramedic,1134.5125,1159.4,-0.37877064362563817,-0.6053169036689845
parasite,1122.1125,1097.8125,-0.7872687089584947,-1.0134301645326294
parent,1159.9,1120.0625,-0.34300767245879094,-0.7016773258538224
patient,1113.7625,1128.9375,-0.26705540106543657,-0.5323352878808152
peacekeeper,1188.9875,1222.0625,-0.17071088800857412,-0.4591395285790124
perfectionist,1214.95,1247.8125,-0.3047467122288561,-0.5624077391423946
pharmacist,1186.7875,1149.3625,-0.340066823545632,-0.6441785728631739
philosopher,1262.3625,1275.05,-0.2853305487850796,-0.5440733988656697
photographer,1123.5,1103.4875,-0.7439482606102553,-0.9899671179258167
physicist,1222.475,1164.025,-0.4650365701116597,-0.6970214840092573
pilgrim,1170.925,1139.85,-0.638552850182055,-0.7950439960483278
pilot,1128.775,1086.675,-0.5047282350875244,-0.7957768441806405
pirate,1098.8875,1085.4375,-1.014479773207766,-1.2527036393634836
planner,1230.725,1194.075,-0.1363978324784091,-0.4939565218491855
playwright,1203.6125,1233.3125,-0.5855656985157344,-0.8101785474139467
podcaster,1256.75,1226.4625,-0.2604536190868698,-0.5298414817689832
poet,1016.45,1016.9625,-0.8803768038286467,-1.0588831448828464
polymath,1266.2875,1265.2,-0.17293541624381367,-0.45161438203433635
pragmatist,1187.1375,1150.5625,-0.22585043893348572,-0.49390179569327786
predator,1210.525,1189.0875,-0.49790380387490335,-0.7521150918638222
presenter,1202.2125,1173.1875,-0.1930727897135091,-0.48057627549467274
prey,1150.5125,1103.5875,-0.6016239029272517,-0.7306362299092859
prisoner,1118.975,1135.825,-0.5103282688564714,-0.7700524454548461
procrastinator,1202.4,1144.7875,-0.3079521797643429,-0.6120480098853689
prodigy,1198.625,1241.05,-0.13584875369394564,-0.4639475230252068
producer,1197.5625,1200.9125,-0.3767316772533402,-0.6677295205955891
programmer,1226.2625,1208.8,-0.1871119051704752,-0.4870219701221265
